ITEM	num	PERGUNTAS	RESPOSTAS
Contrato por obra certa	23	O que é o contrato por obra certa?	O contrato por obra certa, regido pela Lei nº 2.959/56, é aquele utilizado quando se precisa de um trabalhador para executar determinado serviço, em uma obra específica (geralmente de construção civil), tendo o término do contrato juntamente com o do serviço ajustado previamente (nem sempre vai coincidir com o fim da obra). Deve-se assinar a CTPS do empregado na página destinada as “Anotações Gerais”, sendo que aquele que realizará a assinatura é o construtor, denominado empregador, desde que exerça a atividade em caráter permanente. É preciso destacar que se o empregado trabalha em várias obras ao mesmo tempo ou se trabalha alguns dias em uma obra e outros dias em outra, haverá descaracterização desse tipo de contrato.
Contrato por obra certa	24	Posso contratar um funcionário para trabalhar apenas em uma obra?	
Contrato por obra certa	25	Posso contratar um funcionário para trabalhar apenas em uma parte de uma obra?	
Contrato por obra certa	26	Onde devo assinar na CTPS quando contrato um empregado por hora certa?	
Dano moral coletivo	27	O que é dano moral coletivo?	O dano moral coleetivo carece de regulamentação legislativa própria do direito trabalhista, aplicando-se assim as definições dadas pela legislação civil (art. 1º, IV da Lei nº 7.347/85, art. 21, c/c art. 90 do CDC), no qual diz ser possível a responsabilidade por danos morais e coletivos causados a “qualquer outro interesse difuso ou coletivo”.  Além disso, defende-se que é necessário reunir também todos os elementos essenciais da responsabilidade civil, estes são: dano, ilicitude e nexo causal.  As situações que costumam ensejar o dano moral coletivo na seara trabalhista ocorrem quando há um dano que atinge a uma coletividade, e não apenas a um indivíduo, e decorre do descumprimento de obrigações legais que prejudiquem a uma coletividade de trabalhadores. Desse modo é como ser a medida tomada pelo Ministério Público quando este entende ter sido ferido algum direito constitucionalmente protegido, tais quais: valor social do trabalho, a segurança e bem-estar dos indivíduos, ao exercício dos direitos sociais e individuais. 
Dano moral coletivo	28	Quais são os casos entendidos como dano moral coletivo?	
Enquadramento sindical	29	Como sei qual sindicato representa os trabalhadores da empresa?	O enquadramento sindical dos empregados de uma empresa é definido pela categoria econômica do empregador, sendo esse o setor que a empresa atua de forma preponderante (art. 581, § 2º da CLT). Isso ocorre independentemente da função exercida pelo trabalhador ou de sua formação profissional. Entretanto, há ainda aqueles que pertencem a uma categoria profissional diferenciada, sendo identificadas naquelas profissões que possuem lei própria, como, por exemplo, o advogado, o médico e o engenheiro. Nesse caso, aplicam-se a eles as normas coletivas negociadas por seus sindicatos específicos e não aquelas aplicáveis aos demais trabalhadores da empresa. Essa diferenciação apenas deixará de ocorrer se não houver negociação entre o sindicato da categoria profissional diferenciada e a empresa ou seu sindicato. Assim, para o correto enquadramento sindical dois elementos devem ser observados: o objeto social da empresa (sua atividade preponderante) e a existência ou não de categorias diferenciadas. Contudo, deve-se estar atento a outra problemática, isso é, a existência de múltiplas atividades pela empresa, de modo que se torna impossível estabelecer qual delas é a preponderante no contrato social.  Desta feita, se a empresa explorar diversas atividades econômicas, sem que seja possível estabelecer qual é a principal, cada uma delas será incorporada à correspondente categoria econômica (art. 581, § 1º da CLT), ou seja, deve-se observar a atividade efetivamente exercida pelo empregado.
Enquadramento sindical	30	Como sei qual sindicato representa os empregados da empresa?	
Enquadramento sindical	31	O que é uma categoria profissional diferenciada?	
Enquadramento sindical	32	O setor jurídico da minha empresa entraria no mesmo sindicato que os demais trabalhadores?	
Enquadramento sindical	33	O setor jurídico da minha empresa entraria no mesmo sindicato que os demais empregados?	
Enquadramento sindical	34	Qual seria o sindicato que representa os trabalhadores da empresa se há a existência de múltiplas atividades pela empresa?	
Enquadramento sindical	35	Qual seria o sindicato que representa os empregados da empresa se há a existência de múltiplas atividades pela empresa?	
Enquadramento sindical	36	Qual seria o sindicato que representa os trabalhadores da empresa se há como definir a atividade preponderante da empresa?	
Enquadramento sindical	37	Qual seria o sindicato que representa os empregados da empresa se há como definir a atividade preponderante da empresa?	
Faltas graves cometidas por funcionária gestante	38	O que acontece se a funcionária grávida cometer falta grave?	As gestantes possuem estabilidade no emprego desde a confirmação da gravidez até cinco meses após o parto (art. 10, II, b, ADCT). Porém, essa estabilidade não é absoluta, de modo que a empregada grávida que cometer falta grave poderá sofrer com as consequências de sua conduta e ser demitida por justa causa, desde que essa conduta seja devidamente comprovada pela empresa e os procedimentos legais sejam observados. Por exemplo, faltas injustificadas caracterizam a desídia, mas, mencionado anteriormente, faz-se necessário que a empresa esteja com todas as provas desse ato faltoso.  Para tanto, faz-se preciso seguir alguns passos. Na primeira ocorrência da falta grave, deve-se fazer uma advertência verbal para a funcionária. Ressalta-se que essa advertência verbal não pode ser feita na frente de outros funcionários, pois pode gerar dano moral. Nesse momento, deve-se pontuar qual o ato faltoso que foi cometido e ressaltar quais as consequências desse ato, explicando qual o comportamento correto a ser adotado dentro da empresa. Também pode-se oferecer ajuda, a depender da justificativa que a funcionária der.  A partir do segundo ato faltoso do mesmo tipo, já se pode fazer uma advertência escrita. Deve-se incluir, no texto, que houve uma advertência verbal anteriormente e que, mesmo assim, o ato se repetiu.  Na terceira vez que o mesmo ato faltoso for cometido, a empresa poderá suspender a funcionária por período não superior a 30 dias, sendo aconselhada uma suspensão pequena, de 2 ou 3 dias. Os mesmos procedimentos da advertência escrita devem ser tomados, mas incluindo a informação de que a funcionária não receberá pelos dias em que estiver suspensa. Deve-se também ser incluída a informação de que ela poderá ser demitida por justa causa, caso repita a mesma falta. A partir da quarta vez que o mesmo ato faltoso se repetir, desde que obedecida a gradação das "penas" acima, a empresa poderá aplicar a demissão por justa causa. É muito válido e importante que todo esse procedimento seja feito da maneira mais leve e humana possível, para que a funcionária não fique retraída, nem se instaure um clima desagradável na empresa.
Faltas graves cometidas por funcionária gestante	39	Qual a empresa deve agir quando funcionária grávida cometer falta grave?	
Faltas graves cometidas por funcionária gestante	40	Uma funcionária grávida pode ser demitida?	
pagamento de salário	41	Qual o prazo que o empregador tem para efetuar o pagamento de salário ao empregado?	O parágrafo primeiro, do artigo 459 da CLT (Consolidação das Leis do Trabalho), estabelece que o pagamento do salário deve ser realizado no máximo até o 5º dia útil do mês subsequente ao vencido. É permitido o pagamento por cheque ou depósito bancário a alfabetizados, desde que o horário do banco permita ao empregado movimentar a conta, devendo a empresa pagar as despesas de condução, se o banco não estiver próximo. A movimentação da conta através de cartão magnético também é permitida.
Aviso prévio	42	O que fazer quando o empregado que está cumprindo aviso prévio e praticar irregularidades no trabalho?	Independentemente de estar cumprindo aviso prévio, o empregado que cometer irregularidades na prestação de serviços está sujeito às sanções disciplinares, que poderão variar entre advertência e suspensão, podendo ainda implicar na rescisão do contrato por justa causa no caso de reincidência ou dependendo da gravidade da irregularidade.
Homologação	43	O que fazer se o empregado demitido, comparecendo ao sindicato ou ao Ministério do Trabalho para homologação da rescisão trabalhista, se negar a receber as verbas devidas?	Se o empregado se recusar a receber as verbas trabalhistas, depositar na conta dele, se não tiver conta, fazer consignação em juízo, para que a Justiça do Trabalho entenda que você cumpriu com sua obrigação. Mas após a Reforma Trabalhista não é mais necessário fazer homologação em sindicato ou Ministério do Trabalho.
convenção coletiva	44	O que é Convenção Coletiva de Trabalho?	Trata-se de um acordo entre sindicato de empregados e sindicato de empregadores para a estipulação de normas, que dispõe sobre as condições mínimas de trabalho da categoria, como por exemplo, pisos salariais, benefícios, etc. Conforme define o artigo 611 da CLT, a convenção coletiva de trabalho é o acordo de caráter normativo, pelo qual dois ou mais sindicatos representativos de categorias econômicas e profissionais estipulam condições de trabalho aplicáveis, no âmbito das respectivas representações, às relações individuais de trabalho.Os direitos previstos na convenção coletiva têm a mesma força das normas da CLT.
	45	Na rescisão por justa causa é possível a homologação pelo sindicato ou no Ministério do Trabalho?	Após a reforma trabalhista não é necessária homologação do contrato de trabalho, inclusive para demissões por justa causa. Porém, não há impedimento para que a mesma seja homologada.
horário noturno	46	O empregado que trabalha no horário noturno caso seja transferido para o horário diurno, perde o direito ao adicional noturno?	O empregado perde o adicional, caso seja transferido para o horário diurno, conforme dispõe a Súmula 265 do Tribunal Superior do Trabalho - TST; sendo importante que o empregador obtenha a anuência do mesmo por escrito; caso contrário a mudança de horário não será lícita, por ferir o art. 468 da Consolidação das Leis do Trabalho – CLT.É devido o adicional noturno ao empregado que trabalhar no período entre as 22:00 horas de um dia e as 5:00 horas do dia seguinte. Esse adicional é de 20% (vinte por cento) sobre a remuneração do trabalho diurno.
Correção salarial	47	O empregado que se afastar por motivo de doença, tem o direito de correção salarial igual àquela obtida por outros funcionários, após seu retorno ao trabalho? 	Sim, terminado o período de afastamento por motivo de doença, cabe ao funcionário retornar imediatamente ao trabalho e ele também fará juz a correção salarial igual à obtida por outros funcionários durante o seu afastamento.
aviso právio	48	É possível desistir após ter dado aviso prévio ao empregado?	O aviso prévio é a informação à outra parte que o contrato de trabalho terminou, é possível desistir sim,mas como o contrato de trabalho tem que ter aceitação das duas partes, o avisado tem que concordar com o cancelamento do aviso prévio. Ou ainda as partes podem fazer a quitação do contrato de trabalho e iniciar um novo.
duração de jornada	49	Qual a duração da jornada de trabalho? 	Em geral a duração da jornada conforme CLT é de 44 horas por semana e 220 horas por mês.
horas de descanso	50	Quantas horas de descanso deve haver entre uma jornada de trabalho e outra? 	Trata-se de intervalo interjornada que não se confunde com o intervalo para refeição e descanso, que deve ser de no mínimo de 1 hora para jornadas superiores a 6 horas. Entre duas jornadas de trabalho haverá um período mínimo de 11 (onze) horas consecutivas para descanso.
pagamento de salário	51	Qual é o prazo para pagamento da remuneração das férias e abono solicitados?	Após a reforma trabalhista, as férias podem ser gozadas em até 3 períodos, sendo que um deles não pode ser inferior a 14 dias. O pagamento da remuneração das férias e do abono será efetuado até dois dias antes do início do respectivo período.
pagamento de rescisão	52	Qual é o prazo para pagamento das verbas oriundas da rescisão do contrato de trabalho?	De acordo com o parágrafo 6º do art. 477 da Consolidação das Leis do Trabalho, o pagamento das parcelas constantes do instrumento da rescisão ou recibo de quitação deverá ser efetuado nos seguintes prazos: (1) até o primeiro dia útil imediato ao término do contrato; (2)ou até o décimo dia, contado do dia da notificação referente à demissão, quando da ausência do aviso-prévio, indenização do mesmo ou dispensa de seu cumprimento.
morte de empregado	53	Em caso de morte do empregado,  o que empregador deve fazer para efetuar a rescisão? 	O empregador deve providenciar a baixa na Carteira de Trabalho e Previdência Social (CTPS), e deve anotar no campo data da saída, o dia do óbito do empregado e efetuar a rescisão contratual por falecimento. Os valores rescisórios deverão ser pagos em quotas iguais, aos dependentes habilitados perante a Previdência Social. Caso não sejam identificados esses dependentes,os valores deverão ser pagos através de ação de consignação em pagamento perante a Justiça do Trabalho.
horas extras	54	Qual a quantidade de horas extras permitidas para empregado em geral? 	Conforme preceitua o art. 59 da CLT, a duração normal do trabalho poderá ser acrescida de horas suplementares, em número não excedente a duas horas por dia.
processo disciplinar	55	Existe algum critério de precedência para aplicação de penalidades ao empregado, no caso de suspensões e advertências?	O Empregador tem o poder disciplinar  na empresa e pode aplicar penalidades aos empregados que violarem as normas da empresa ou cometer atos que se enquadrem no art. 282 da CLT. Entretanto, não existe um critério de precedência e pode ser aplicada a advertência ou suspensão analisando a gravidade do fato. O Empregador deve aplicar essas penalidades sempre com bom senso e em caso de falta grave pode ser aplicada a justa causa. Se o Empregador aplicar 3 advertências, de acordo com a gravidade para a mesma incidência, pode suspender o funcionário ou aplicar demissão por justa causa. Lembrando que existem hipóteses para demissão imediata por justa causa no artigo 482 da CLT.
devolução da CTPS	56	Qual é o prazo que o empregador tem para devolver ao empregado, a carteira de trabalho, que tomou para anotações? 	O empregador tem o prazo, improrrogável, de 48 horas para fazer anotações necessárias e devolver a CTPS. Esse prazo começa a ser contado a partir do momento da entrega da carteira, que deve ser devolvida mediante recibo do empregado.
Atualização da CTPS	57	Quando a carteira de trabalho deve ser atualizada?	A carteira de trabalho deve ser sempre que ocorrer alteração contratual, correção salarial, concessão de férias ou em caso de recolhimento de contribuição sindical.
banco de horas	58	É possível implantar o “banco de horas” (as horas extras trabalhadas em um dia serem compensadas com a diminuição em outro dia) ?	Considerando que a Lei 13.467/2017 (Reforma Trabalhista) acrescentou o parágrafo 5 (quinto) ao artigo 59 da CLT, em princípio, não há impedimento à implantação de bando de horas, desde que, observados os requisitos legais. Contudo, cumpre esclarecer que, no tocante à jornada de trabalho, o que for convencionado se sobrepõe ao legislado.  
salário proporcional	59	A Empresa pode contratar um empregado para trabalhar menos que 44 (quarenta e quatro) horas semanais, recebendo salário proporcional à sua jornada?	A Lei 13.467/2017 (Reforma Trabalhista) acrescentou o artigo 58-A, à CLT, que dispõe que “considera-se trabalho em regime de tempo parcial aquele cuja duração não exceda a trinta horas semanais, sem a possibilidade de horas suplementares semanais, ou, ainda, aquele cuja duração não exceda a vinte e seis horas semanais, com a possibilidade de acréscimo de até seis horas suplementares semanais”, sendo que o salário do empregado será proporcional à sua jornada, em relação aos empregados que cumprem, nas mesmas funções, em tempo integral. 
exames médicos	60	As empresas estão obrigados a realizar exames médicos em seus empregados?	Sim, por força do estabelecido no art. 168 da CLT e pela Norma Regulamentadora nº 07 – NR-7, que é parte de um conjunto de normas relativas à medicina e engenharia do trabalho, editadas pelo Ministério do Trabalho e Emprego, todos os empregadores estão obrigados à implementação do chamado Programa de Controle Médico de Saúde Ocupacional – PCMSO, o qual prevê a realização de exames médicos dos seus empregados, a cada 12 meses.
exames médicos	62	Em que ocasiões devem ser realizados os  exames médicos dos empregados?	Resumidamente, os exames médicos devem ser realizados nas seguintes ocasiões: antes da admissão do empregado; periodicamente; mudança de função, quando a nova ocupação exponha o trabalhador a agente de risco; quando do retorno ao trabalho após afastamento por período igual ou superior a 30 dias por motivos de doença, acidente ou parto; quando da demissão do empregado.
exames médicos	63	Quais os intervalos máximos para a realização dos exames periódicos?	O período máximo é anual podendo ser por um período menor, a critério do médico encarregado, ou se notificado pelo médico agente da inspeção do trabalho, ou, ainda, como resultado de negociação coletiva de trabalho;
PPRA	63	Quais empresas estão obrigadas a implementar o Programa de Prevenção de Riscos Ambientais – PPRA?	Todos os empregadores e instituições que admitam trabalhadores como empregados, estão sujeitos à Norma Regulamentadora nº 09 – NR-09, do Ministério do Trabalho e Emprego, que impõe a implementação do referido programa, cujo objetivo é o antecipado reconhecimento, avaliação e controle dos riscos que o ambiente de trabalho possa oferecer à saúde do trabalhador.
PPRA	64	Feita a primeira avaliação técnica do ambiente de trabalho, após quanto tempo deverá ser renovada? 	Conforme dispõe a NR-09, deverá ser feita pelo menos uma vez ao ano uma análise global do PPRA para avaliação do seu desenvolvimento e realização dos ajustes necessários, podendo ocorrer avaliação em menor tempo, caso seja identificada necessidade para tal, por exemplo, havendo uma modificação nas instalações ou condições do ambiente de trabalho.
CIPA	65	Qual a finalidade da CIPA? 	A Comissão Interna de Prevenção de Acidentes – CIPA, tem como finalidade a prevenção de acidentes e doenças decorrentes do trabalho, de modo a tornar compatível permanentemente o trabalho com a preservação da vida e a promoção da saúde do trabalhador.
GRUPO ECONÔMICO 	66	Uma empresa pode ser responsabilizada pelos débitos de outra empresa, se ele existir um sócio em comum nas duas empresas?	Mesmo que um sócio faça parte de duas ou mais empresa, tal fato, por si só,  não poderá ser considerado isoladamente para a caracterização de grupo econômico. Em sentido reverso, poderá ser considerado grupo econômico as empresas que possuem personalidades distintas, sócios inteiramente distintos, mas que apresentes os requisitos definidos na lei. Devem ser  demonstrados concomitantemente 3 requisitos:  1. a demonstração do interesse integrado; 2. a efetiva comunhão de interesses; 3. atuação conjunta das empresas dele integrantes.  A norma legal veio de encontro à interpretação ampla do conceito de grupo econômico difundida pela jurisprudência. Em resumo, o art. 3o exclui a identidade de sócios como elemento de caracterização de grupo econômico.
GRUPO ECONÔMICO 	67	Uma empresa pode ser responsabilidade por débitos de outra, alegando grupo econômico?	
RESPONSABILIDADE TRABALHISTA NA SUCESSÃO EMPRESARIAL	68	Uma empresa pode ser responsabilizada pelos débitos de outra se der continuidade ao mesmo negócio da empresa anterior?  	Os sucessores – sociedade empresária ou sócios – são responsáveis pelas obrigações trabalhistas da empresa sucedida, inclusive as obrigações contraídas na época em que os empregados trabalhavam para as empresas sucedidas. A empresa sucedida somente responderá solidariamente quando ficar comprovada fraude na transferência. O texto legal confirmou o entendimento dos tribunais quanto responsabilidade da empresa sucessora, entretanto, limitou a responsabilidade solidária entre sucessores e sucedidos apenas quando ficar comprovada fraude.
RESPONSABILIDADE TRABALHISTA NA SUCESSÃO EMPRESARIAL	69	Como se caracteriza a sucessão empresarial?	
 LIMITAÇÃO DA RESPONSABILIDADE DO SÓCIO RETIRANTE	70	O sócio que se retira de uma sociedade empresarial pode ser responsabilizado por débitos da empresa?	A CLT agora prevê expressamente a responsabilidade do sócio retirante pelos débitos trabalhistas da sociedade relativamente ao período em que aquele figurou como sócio. Os sucessores – sociedade empresária ou sócios – são responsáveis pelas obrigações trabalhistas da empresa sucedida, inclusive as obrigações contraídas na época em que os empregados trabalhavam para as empresas sucedidas. A empresa sucedida somente responderá solidariamente quando ficar comprovada fraude na transferência. O texto legal confirmou o entendimento dos tribunais quanto responsabilidade da empresa sucessora, entretanto, limitou a responsabilidade solidária entre sucessores e sucedidos apenas quando ficar comprovada fraude. Os principais impactos para as empresas são as limitações inseridas na nova lei: 1) A responsabilidade do sócio será subsidiária e não solidária; 2) Está limitada às ações ajuizadas em até 02 (dois) anos  após a averbação da saída do sócio do quadro societário da empresa; 3) Os bens do sócio retirante somente poderão ser executados após esgotados todos os meios de execução dos bens da empresa devedora e dos sócios atuais.  Tais limitações trarão mais segurança jurídica para que os empresários não sejam ilimitadamente responsabilizados pelas obrigações trabalhistas das empresas, ocorridas muitas vezes apenas em fase de execução
PRESCRIÇÃO INTERCORRENTE	71	 Uma empresa pode deixar de pagar um débito de um empregado, mesmo após ter sido condenada na justiça?	A aplicação da prescrição objetiva a segurança jurídica, no sentido de extinguir a pretensão de se exigir um direito caso não pleiteado no lapso temporal definido em lei. A prescrição intercorrente trata-se de prescrição supressiva – que extingue a pretensão devido ao transcurso do tempo – e ocorre no curso da execução (após o trânsito em julgado do processo), quando o mesmo fica inativo por inércia do exequente, evitando que inúmeros processos de execução de prolonguem por anos a fio. A CLT agora reconhece a prescrição intercorrente no processo do trabalho no prazo de 2 anos, com início do prazo quando o exequente deixa de cumprir determinação judicial no curso da execução. O reconhecimento da prescrição intercorrente pode ser requerida ou declarada de ofício em qualquer grau de jurisdição. O novo dispositivo da CLT encontra-se em total sintonia com o art. 40 da Lei das execuções fiscais que define a prescrição intercorrente da mesma forma, sendo tal dispositivo aplicável à CLT, conforme seu art. 889. Com essa alteração, a prescrição intercorrente passa a ser um fenômeno jurídico incluído em todo o processo civil, incluindo o processo do trabalho. No presente caso, ocorreu a prevalência da Súmula 327 do Supremo Tribunal Federal sobre a Súmula 114 do Tribunal Superior do Trabalho.
PRESCRIÇÃO INTERCORRENTE	72	É possível ocorreu prescrição depois que um processo trabalhista já foi julgado?	
TRABALHO INfANTIL	73	O que é considerado trabalho infantil? 	É considerado trabalho infantil, no Brasil, aquele realizado por crianças ou adolescentes com idade inferior a 16 (dezesseis) anos, a não ser na condição de aprendiz, quando a idade mínima permitida passa a ser de 14 (catorze) anos. 
TRABALHO INfANTIL	74	No trabalho doméstico, as idades são as mesmas? 	Não. A idade mínima para o trabalho doméstico é 18 (dezoito) anos. Assim, todo trabalho doméstico realizado antes dessa idade será considerado infantil.
TRABALHO INfANTIL	73	Por que para o trabalho doméstico a idade mínima é superior?	O Brasil ratificou a Convenção Nº 182 da Organização Internacional do Trabalho (OIT), que trata das piores formas de trabalho infantil, em que não se pode trabalhar antes dos 18 (dezoito) anos. Ao regulamentar a Convenção, pelo Decreto Nº 6.481/2008, o País incluiu entre as piores formas o trabalho doméstico. 
TRABALHO INfANTIL	74	Qual a razão para só poder realizar trabalho doméstico após os 18 anos? 	O trabalho doméstico, segundo a Lista TIP (das piores formas de trabalho infantil), submete o trabalhador a riscos ocupacionais como esforços físicos intensos, isolamento, abuso físico, psicológico e sexual; longas jornadas de trabalho, trabalho noturno, calor, exposição ao fogo, posições antiergonômicas e movimentos repetitivos; tracionamento da coluna vertebral, e sobrecarga muscular. Tais riscos trazem, como possíveis consequências à saúde, afecções musculoesqueléticas (bursites, tendinites, dorsalgias, sinovites, tenossinovites), contusões, fraturas, ferimentos, queimaduras, ansiedade, alterações na vida familiar, transtornos do ciclo vigília-sono, DORT/LER, deformidades da coluna vertebral (lombalgias, lombociatalgias, escolioses, cifoses, lordoses), síndrome do esgotamento profissional e neurose profissional; traumatismos, tonturas e fobias. Tudo isso justifica a proibição. 
TRABALHO INfANTIL	75	O menor de idade pode trabalhar como babá? 	Não, não pode! Babá também é empregada doméstica. Aliás, qualquer um que trabalhe para pessoa ou família, no (ou para o) âmbito residencial, é trabalhador doméstico. Assim, nem a atividade de babá nem outra qualquer nessa situação pode ser realizada por quem ainda não completou 18 (dezoito) anos.
