Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Apartamento;Centro;1;0;0;27;750.0;371.0;19.0;27.78;Apartamento
Apartamento;Ipanema;1;0;0;35;2000.0;650.0;75.0;57.14;Apartamento
Apartamento;Ipanema;1;0;0;38;1400.0;530.0;77.0;36.84;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;2;83;1600.0;1160.0;157.0;19.28;Apartamento
Apartamento;Barra da Tijuca;4;3;3;153;6500.0;2300.0;434.0;42.48;Apartamento
Apartamento;Ipanema;3;1;0;87;3200.0;1305.0;217.0;36.78;Apartamento
Apartamento;Méier;3;1;0;90;1550.0;844.0;80.0;17.22;Apartamento
Apartamento;Vargem Pequena;3;1;0;53;1400.0;385.0;28.0;26.42;Apartamento
Apartamento;Botafogo;3;1;1;108;5950.0;1405.0;289.0;55.09;Apartamento
Apartamento;Maracanã;2;0;0;86;1800.0;600.0;82.0;20.93;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;74;1850.0;675.0;200.0;25.0;Apartamento
Apartamento;Jacarepaguá;3;1;1;74;1900.0;556.0;98.0;25.68;Apartamento
Apartamento;Ipanema;3;2;1;150;8000.0;2400.0;0.0;53.33;Apartamento
Apartamento;Ipanema;3;1;1;140;7900.0;2900.0;500.0;56.43;Apartamento
Apartamento;Jardim Botânico;2;2;0;95;4000.0;1170.0;0.0;42.11;Apartamento
Apartamento;Cachambi;2;0;0;60;1000.0;380.0;280.0;16.67;Apartamento
Apartamento;Leblon;2;1;1;80;3500.0;990.0;245.0;43.75;Apartamento
Apartamento;Barra da Tijuca;3;2;1;104;2600.0;1364.0;406.0;25.0;Apartamento
Apartamento;Vila Valqueire;2;1;0;45;800.0;280.0;14.0;17.78;Apartamento
Apartamento;Gávea;2;1;0;70;2800.0;680.0;98.0;40.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;88;2700.0;1300.0;2042.0;30.68;Apartamento
Apartamento;Centro;1;1;0;37;1100.0;540.0;900.0;29.73;Apartamento
Apartamento;Cosme Velho;3;4;0;130;5500.0;1407.0;246.0;42.31;Apartamento
Apartamento;Bonsucesso;2;1;0;77;1500.0;740.0;0.0;19.48;Apartamento
Apartamento;Barra da Tijuca;3;2;2;85;2500.0;1400.0;190.0;29.41;Apartamento
Apartamento;Todos os Santos;3;1;1;78;1450.0;630.0;73.0;18.59;Apartamento
Apartamento;Laranjeiras;2;1;0;54;2300.0;582.0;0.0;42.59;Apartamento
Apartamento;Jacarepaguá;2;1;1;69;2000.0;780.0;0.0;28.99;Apartamento
Apartamento;Ipanema;3;1;1;120;7000.0;1800.0;370.0;58.33;Apartamento
Apartamento;Barra da Tijuca;2;1;1;78;2750.0;1300.0;138.0;35.26;Apartamento
Apartamento;Itanhangá;2;1;0;60;1000.0;450.0;150.0;16.67;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;90;2400.0;1700.0;135.0;26.67;Apartamento
Apartamento;Humaitá;2;1;0;86;4000.0;1259.0;188.0;46.51;Apartamento
Apartamento;Barra da Tijuca;1;1;1;70;1700.0;870.0;143.0;24.29;Apartamento
Apartamento;Tijuca;2;1;0;80;1800.0;1100.0;84.0;22.5;Apartamento
Apartamento;Tijuca;3;1;0;172;2700.0;780.0;170.0;15.7;Apartamento
Apartamento;Freguesia (Jacarepaguá);4;3;2;261;2800.0;2535.0;3900.0;10.73;Apartamento
Apartamento;Ipanema;3;1;1;145;8000.0;14768.0;4394.0;55.17;Apartamento
Apartamento;Olaria;2;1;0;53;1100.0;160.0;0.0;20.75;Apartamento
Apartamento;Botafogo;2;1;1;83;2800.0;560.0;138.0;33.73;Apartamento
Apartamento;Botafogo;2;1;1;80;4300.0;1178.0;187.0;53.75;Apartamento
Apartamento;Leblon;3;2;1;147;7500.0;1028.0;247.0;51.02;Apartamento
Apartamento;Copacabana;2;1;0;67;3500.0;950.0;160.0;52.24;Apartamento
Apartamento;Barra da Tijuca;4;3;2;220;7500.0;3911.0;716.0;34.09;Apartamento
Apartamento;Catete;2;0;0;77;2400.0;1130.0;140.0;31.17;Apartamento
Apartamento;Jardim Carioca;2;1;0;55;1350.0;430.0;47.0;24.55;Apartamento
Apartamento;Leblon;3;1;0;85;3900.0;800.0;1211.0;45.88;Apartamento
Apartamento;Catete;2;0;0;75;3350.0;455.0;0.0;44.67;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;90;1200.0;880.0;144.0;13.33;Apartamento
Apartamento;Praça Seca;2;0;0;80;900.0;350.0;0.0;11.25;Apartamento
Apartamento;Vila Isabel;1;0;0;37;1000.0;285.0;24.0;27.03;Apartamento
Apartamento;Copacabana;3;0;0;150;5500.0;1780.0;420.0;36.67;Apartamento
Apartamento;Lagoa;3;1;1;127;5000.0;1540.0;370.0;39.37;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;1;74;1700.0;652.0;104.0;22.97;Apartamento
Apartamento;Barra da Tijuca;3;2;1;128;3000.0;1384.0;324.0;23.44;Apartamento
Apartamento;Gávea;3;1;1;160;8000.0;2000.0;0.0;50.0;Apartamento
Apartamento;Copacabana;3;1;1;200;6200.0;1800.0;420.0;31.0;Apartamento
Apartamento;Barra da Tijuca;2;1;0;58;1500.0;666.0;106.0;25.86;Apartamento
Apartamento;Botafogo;3;1;1;100;5500.0;1300.0;220.0;55.0;Apartamento
Apartamento;Barra da Tijuca;4;2;3;320;5500.0;2700.0;800.0;17.19;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;75;1000.0;1040.0;112.0;13.33;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;104;2200.0;740.0;258.0;21.15;Apartamento
Apartamento;Barra da Tijuca;2;1;1;72;2600.0;1700.0;237.0;36.11;Apartamento
Apartamento;Taquara;2;1;0;75;1200.0;330.0;75.0;16.0;Apartamento
Apartamento;Botafogo;4;1;1;190;5500.0;1720.0;350.0;28.95;Apartamento
Apartamento;Méier;2;0;0;56;899.0;402.0;135.0;16.05;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;1;71;1200.0;600.0;54.0;16.9;Apartamento
Apartamento;Lagoa;3;1;2;105;3600.0;1100.0;281.0;34.29;Apartamento
Apartamento;Tijuca;3;0;0;87;1600.0;650.0;100.0;18.39;Apartamento
Apartamento;Botafogo;1;0;0;35;1500.0;470.0;50.0;42.86;Apartamento
Apartamento;Copacabana;3;0;0;100;3300.0;850.0;90.0;33.0;Apartamento
Apartamento;Barra da Tijuca;3;1;2;93;2500.0;1100.0;0.0;26.88;Apartamento
Apartamento;Engenho Novo;2;2;0;78;800.0;915.0;55.0;10.26;Apartamento
Apartamento;Barra da Tijuca;2;1;1;85;2500.0;1573.0;197.0;29.41;Apartamento
Apartamento;Leblon;2;1;1;115;7500.0;980.0;270.0;65.22;Apartamento
Apartamento;Botafogo;2;1;1;70;3700.0;1133.0;147.0;52.86;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;1;95;1600.0;650.0;0.0;16.84;Apartamento
Apartamento;Campo Grande;2;0;0;60;1200.0;570.0;0.0;20.0;Apartamento
Apartamento;Flamengo;1;0;0;40;1900.0;430.0;54.0;47.5;Apartamento
Apartamento;Engenho de Dentro;3;1;1;61;1400.0;498.0;0.0;22.95;Apartamento
Apartamento;Copacabana;3;2;1;250;7000.0;1500.0;434.0;28.0;Apartamento
Apartamento;Copacabana;3;1;0;140;3700.0;1347.0;0.0;26.43;Apartamento
Apartamento;Copacabana;2;0;0;50;2500.0;750.0;760.0;50.0;Apartamento
Apartamento;Tijuca;3;1;1;78;2500.0;730.0;178.0;32.05;Apartamento
Apartamento;Lagoa;3;1;1;75;4000.0;1250.0;309.0;53.33;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;102;1850.0;882.0;0.0;18.14;Apartamento
Apartamento;Tijuca;1;0;0;65;1200.0;320.0;0.0;18.46;Apartamento
Apartamento;Barra da Tijuca;2;1;0;60;1500.0;1266.0;233.0;25.0;Apartamento
Apartamento;Maracanã;3;2;3;158;2400.0;1265.0;0.0;15.19;Apartamento
Apartamento;Barra da Tijuca;2;1;1;83;2000.0;1548.0;260.0;24.1;Apartamento
Apartamento;Laranjeiras;5;2;1;400;9000.0;3000.0;0.0;22.5;Apartamento
Apartamento;Barra da Tijuca;3;1;1;84;1900.0;1103.0;212.0;22.62;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;1;1;77;1600.0;850.0;165.0;20.78;Apartamento
Apartamento;Tijuca;3;0;0;75;1800.0;350.0;0.0;24.0;Apartamento
Apartamento;Ipanema;3;1;1;126;5500.0;1400.0;2000.0;43.65;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;3;2;173;3200.0;1800.0;0.0;18.5;Apartamento
Apartamento;Tijuca;2;1;1;71;1500.0;600.0;0.0;21.13;Apartamento
Apartamento;Barra da Tijuca;2;1;1;81;1900.0;1200.0;121.0;23.46;Apartamento
Apartamento;Leblon;3;1;0;87;3800.0;970.0;273.0;43.68;Apartamento
Apartamento;Laranjeiras;4;1;2;288;7000.0;1870.0;582.0;24.31;Apartamento
Apartamento;Recreio dos Bandeirantes;1;1;1;102;1900.0;688.0;0.0;18.63;Apartamento
Apartamento;Leblon;2;1;0;70;4200.0;1100.0;200.0;60.0;Apartamento
Apartamento;Pilares;3;0;0;65;1200.0;350.0;16.0;18.46;Apartamento
Apartamento;Barra da Tijuca;3;3;2;169;6500.0;1886.0;450.0;38.46;Apartamento
Apartamento;Laranjeiras;3;1;1;90;2400.0;1311.0;0.0;26.67;Apartamento
Apartamento;Tijuca;2;0;0;50;1800.0;347.0;25.0;36.0;Apartamento
Apartamento;Ipanema;3;1;1;140;6500.0;1800.0;506.0;46.43;Apartamento
Apartamento;Campo Grande;2;0;0;60;800.0;380.0;0.0;13.33;Apartamento
Apartamento;Centro;1;0;0;35;1350.0;420.0;24.0;38.57;Apartamento
Apartamento;Tijuca;2;0;0;63;1400.0;440.0;61.0;22.22;Apartamento
Apartamento;Copacabana;3;1;0;112;3800.0;1123.0;286.0;33.93;Apartamento
Apartamento;Tijuca;3;1;0;129;1800.0;850.0;116.0;13.95;Apartamento
Apartamento;Barra da Tijuca;4;3;3;160;8600.0;2300.0;250.0;53.75;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;93;1400.0;1300.0;0.0;15.05;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;1;1;93;1800.0;650.0;95.0;19.35;Apartamento
Apartamento;Barra da Tijuca;1;1;1;60;2200.0;1600.0;350.0;36.67;Apartamento
Apartamento;Taquara;2;2;0;55;790.0;350.0;0.0;14.36;Apartamento
Apartamento;Copacabana;2;0;0;54;1800.0;590.0;0.0;33.33;Apartamento
Apartamento;Catete;2;1;1;70;3300.0;1365.0;180.0;47.14;Apartamento
Apartamento;Maracanã;2;1;0;53;1300.0;492.0;16.0;24.53;Apartamento
Apartamento;Botafogo;1;0;0;35;1000.0;293.0;86.0;28.57;Apartamento
Apartamento;Tijuca;3;1;0;164;3500.0;1310.0;257.0;21.34;Apartamento
Apartamento;Jacarepaguá;2;1;1;60;1200.0;524.0;13.0;20.0;Apartamento
Apartamento;Água Santa;2;1;0;50;850.0;280.0;12.0;17.0;Apartamento
Apartamento;Botafogo;2;1;1;79;4315.0;1110.0;187.0;54.62;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;80;1600.0;615.0;3.0;20.0;Apartamento
Apartamento;Tijuca;1;0;0;36;1300.0;295.0;24.0;36.11;Apartamento
Apartamento;Jardim Oceânico;4;4;3;190;5700.0;1069.0;808.0;30.0;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;1;0;84;1500.0;900.0;0.0;17.86;Apartamento
Apartamento;São Cristóvão;2;0;0;50;1000.0;600.0;0.0;20.0;Apartamento
Apartamento;Ilha do Governador;3;1;0;83;1500.0;440.0;132.0;18.07;Apartamento
Apartamento;Olaria;2;0;0;90;1000.0;150.0;0.0;11.11;Apartamento
Apartamento;Humaitá;1;0;0;57;3990.0;860.0;100.0;70.0;Apartamento
Apartamento;Maracanã;3;1;0;95;2500.0;600.0;80.0;26.32;Apartamento
Apartamento;Barra da Tijuca;2;1;1;63;1900.0;824.0;0.0;30.16;Apartamento
Apartamento;Gávea;2;1;1;100;3900.0;1300.0;320.0;39.0;Apartamento
Apartamento;Ipanema;3;2;1;165;7500.0;2200.0;532.0;45.45;Apartamento
Apartamento;Ipanema;3;2;2;160;6000.0;3500.0;4600.0;37.5;Apartamento
Apartamento;Flamengo;1;1;0;48;2100.0;580.0;70.0;43.75;Apartamento
Apartamento;Leblon;2;1;1;87;4800.0;1300.0;361.0;55.17;Apartamento
Apartamento;Barra da Tijuca;3;1;1;105;2500.0;1400.0;1500.0;23.81;Apartamento
Apartamento;Barra da Tijuca;3;1;1;80;3500.0;1410.0;270.0;43.75;Apartamento
Apartamento;Botafogo;3;1;1;102;5100.0;1300.0;0.0;50.0;Apartamento
Apartamento;Gávea;3;0;1;120;2700.0;880.0;238.0;22.5;Apartamento
Apartamento;Humaitá;2;2;1;112;4500.0;1300.0;0.0;40.18;Apartamento
Apartamento;Vila da Penha;2;0;0;60;900.0;160.0;25.0;15.0;Apartamento
Apartamento;Lagoa;1;1;0;75;2800.0;800.0;210.0;37.33;Apartamento
Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0;56.0;Apartamento
Apartamento;Engenho Novo;2;0;0;53;1400.0;460.0;12.0;26.42;Apartamento
Apartamento;Recreio dos Bandeirantes;3;3;1;132;2800.0;879.0;0.0;21.21;Apartamento
Apartamento;Barra da Tijuca;2;2;1;86;3500.0;1307.0;0.0;40.7;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;80;1700.0;690.0;150.0;21.25;Apartamento
Apartamento;Recreio dos Bandeirantes;4;2;2;200;3600.0;1177.0;320.0;18.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;77;2500.0;830.0;156.0;32.47;Apartamento
Apartamento;Engenho Novo;1;1;0;63;700.0;625.0;36.0;11.11;Apartamento
Apartamento;Barra da Tijuca;4;2;2;149;4500.0;2130.0;0.0;30.2;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;2;106;2500.0;780.0;248.0;23.58;Apartamento
Apartamento;Anil;2;1;0;48;1100.0;400.0;0.0;22.92;Apartamento
Apartamento;Gávea;2;1;1;68;2700.0;850.0;186.0;39.71;Apartamento
Apartamento;Barra da Tijuca;2;1;1;75;1400.0;1280.0;0.0;18.67;Apartamento
Apartamento;Ipanema;2;1;1;97;7000.0;4000.0;4725.0;72.16;Apartamento
Apartamento;Cachambi;3;0;0;70;900.0;200.0;30.0;12.86;Apartamento
Apartamento;Copacabana;4;2;1;279;3150.0;2025.0;370.0;11.29;Apartamento
Apartamento;Cachambi;2;1;0;70;950.0;530.0;30.0;13.57;Apartamento
Apartamento;Recreio dos Bandeirantes;4;2;1;400;3500.0;800.0;500.0;8.75;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;89;1800.0;884.0;170.0;20.22;Apartamento
Apartamento;Maracanã;1;1;1;120;1000.0;985.0;150.0;8.33;Apartamento
Apartamento;Recreio dos Bandeirantes;4;3;2;181;3500.0;1080.0;423.0;19.34;Apartamento
Apartamento;Tijuca;2;1;1;70;1500.0;890.0;68.0;21.43;Apartamento
Apartamento;Vaz Lobo;2;0;0;70;1000.0;32.0;0.0;14.29;Apartamento
Apartamento;Madureira;2;0;0;40;600.0;415.0;0.0;15.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;0;0;75;1700.0;659.0;0.0;22.67;Apartamento
Apartamento;Copacabana;2;1;1;81;2900.0;893.0;190.0;35.8;Apartamento
Apartamento;Praça Seca;3;0;0;90;900.0;330.0;15.0;10.0;Apartamento
Apartamento;Vila Isabel;3;3;1;124;1700.0;1400.0;0.0;13.71;Apartamento
Apartamento;Recreio dos Bandeirantes;5;3;4;430;6000.0;899.0;750.0;13.95;Apartamento
Apartamento;Ipanema;2;0;1;75;5200.0;476.0;120.0;69.33;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;2;1;126;1500.0;1000.0;150.0;11.9;Apartamento
Apartamento;Laranjeiras;2;1;1;70;2300.0;620.0;190.0;32.86;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;94;1900.0;1300.0;198.0;20.21;Apartamento
Apartamento;Barra da Tijuca;4;3;4;192;5000.0;2200.0;562.0;26.04;Apartamento
Apartamento;Copacabana;1;0;0;43;1600.0;452.0;242.0;37.21;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;2200.0;780.0;0.0;31.43;Apartamento
Apartamento;São Francisco Xavier;3;1;1;73;1200.0;520.0;0.0;16.44;Apartamento
Apartamento;Copacabana;3;0;0;120;3000.0;1420.0;0.0;25.0;Apartamento
Apartamento;Pechincha;2;1;0;64;800.0;248.0;14.0;12.5;Apartamento
Apartamento;Copacabana;1;0;0;45;2800.0;450.0;30.0;62.22;Apartamento
Apartamento;Laranjeiras;2;0;0;110;2500.0;968.0;167.0;22.73;Apartamento
Apartamento;Flamengo;2;0;0;85;2700.0;800.0;1150.0;31.76;Apartamento
Apartamento;Leme;3;1;1;175;8000.0;1380.0;0.0;45.71;Apartamento
Apartamento;Jacarepaguá;2;1;0;68;1100.0;540.0;0.0;16.18;Apartamento
Apartamento;Humaitá;2;1;0;64;2500.0;520.0;0.0;39.06;Apartamento
Apartamento;Copacabana;1;0;1;37;2500.0;447.0;20.0;67.57;Apartamento
Apartamento;Barra da Tijuca;14;2;2;212;5000.0;1200.0;650.0;23.58;Apartamento
Apartamento;Irajá;2;1;0;65;1100.0;255.0;0.0;16.92;Apartamento
Apartamento;Barra da Tijuca;2;2;1;105;3000.0;1500.0;0.0;28.57;Apartamento
Apartamento;Vila Isabel;2;1;0;70;1100.0;550.0;0.0;15.71;Apartamento
Apartamento;Gávea;3;1;1;108;5000.0;1769.0;226.0;46.3;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;2;85;2300.0;1350.0;125.0;27.06;Apartamento
Apartamento;Catete;1;0;0;45;1600.0;500.0;55.0;35.56;Apartamento
Apartamento;Barra da Tijuca;3;2;3;160;7000.0;1087.0;455.0;43.75;Apartamento
Apartamento;Lagoa;3;2;1;130;5000.0;1000.0;300.0;38.46;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;2;1;100;2100.0;780.0;140.0;21.0;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;2;3;180;5500.0;1200.0;318.0;30.56;Apartamento
Apartamento;Copacabana;3;0;0;80;2500.0;800.0;157.0;31.25;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;1;85;1900.0;450.0;112.0;22.35;Apartamento
Apartamento;Barra da Tijuca;5;4;3;171;9000.0;2000.0;3500.0;52.63;Apartamento
Apartamento;Centro;1;0;0;42;2200.0;619.0;202.0;52.38;Apartamento
Apartamento;Méier;2;1;0;62;1000.0;600.0;38.0;16.13;Apartamento
Apartamento;Grajaú;2;0;0;65;1400.0;415.0;21.0;21.54;Apartamento
Apartamento;Copacabana;1;0;0;43;1800.0;639.0;76.0;41.86;Apartamento
Apartamento;Lagoa;2;1;1;80;2200.0;2600.0;420.0;27.5;Apartamento
Apartamento;Flamengo;2;1;0;57;2800.0;832.0;98.0;49.12;Apartamento
Apartamento;Campo Grande;3;1;1;98;1800.0;950.0;0.0;18.37;Apartamento
Apartamento;Jardim Botânico;3;1;2;170;6000.0;860.0;540.0;35.29;Apartamento
Apartamento;Ipanema;1;0;1;50;2400.0;897.0;26.0;48.0;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;150;2500.0;1012.0;0.0;16.67;Apartamento
Apartamento;Copacabana;2;0;0;65;2700.0;710.0;130.0;41.54;Apartamento
Apartamento;Recreio dos Bandeirantes;4;3;2;300;4500.0;1500.0;580.0;15.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;2;1;115;1900.0;661.0;0.0;16.52;Apartamento
Apartamento;Recreio dos Bandeirantes;3;3;1;110;1500.0;873.0;0.0;13.64;Apartamento
Apartamento;Tijuca;3;1;0;88;2300.0;790.0;885.0;26.14;Apartamento
Apartamento;Ipanema;3;1;1;145;7200.0;2900.0;500.0;49.66;Apartamento
Apartamento;Urca;1;0;0;53;2800.0;770.0;0.0;52.83;Apartamento
Apartamento;Ipanema;3;1;1;116;5000.0;1600.0;316.0;43.1;Apartamento
Apartamento;Tijuca;3;1;0;116;2000.0;790.0;194.0;17.24;Apartamento
Apartamento;Vila Isabel;3;0;0;82;1200.0;664.0;86.0;14.63;Apartamento
Apartamento;Barra da Tijuca;3;2;1;130;4800.0;1700.0;433.0;36.92;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;1;1;90;1700.0;595.0;0.0;18.89;Apartamento
Apartamento;Flamengo;2;1;0;68;2000.0;536.0;148.0;29.41;Apartamento
Apartamento;Copacabana;1;0;0;60;2800.0;620.0;128.0;46.67;Apartamento
Apartamento;Taquara;2;1;0;53;1100.0;450.0;150.0;20.75;Apartamento
Apartamento;Penha;2;0;0;64;950.0;180.0;0.0;14.84;Apartamento
Apartamento;Jardim Botânico;3;1;1;130;6400.0;1500.0;0.0;49.23;Apartamento
Apartamento;Leblon;2;1;0;90;3500.0;1300.0;200.0;38.89;Apartamento
Apartamento;Leblon;4;2;4;200;8500.0;2710.0;945.0;42.5;Apartamento
Apartamento;Tijuca;1;1;1;84;2000.0;718.0;120.0;23.81;Apartamento
Apartamento;Flamengo;1;0;0;30;1490.0;315.0;55.0;49.67;Apartamento
Apartamento;Maracanã;2;0;0;79;1700.0;600.0;0.0;21.52;Apartamento
Apartamento;Copacabana;1;1;0;150;3000.0;1200.0;390.0;20.0;Apartamento
Apartamento;Barra da Tijuca;3;2;3;156;5500.0;2300.0;398.0;35.26;Apartamento
Apartamento;Flamengo;1;0;1;38;1450.0;690.0;55.0;38.16;Apartamento
Apartamento;Botafogo;2;0;0;115;2200.0;1045.0;190.0;19.13;Apartamento
Apartamento;Tijuca;2;0;0;49;1800.0;180.0;0.0;36.73;Apartamento
Apartamento;Jacarepaguá;2;1;1;80;1900.0;1350.0;100.0;23.75;Apartamento
Apartamento;Copacabana;2;0;0;120;3800.0;1000.0;197.0;31.67;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;1800.0;681.0;120.0;25.71;Apartamento
Apartamento;Bonsucesso;3;1;0;98;2800.0;390.0;0.0;28.57;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;3240.0;950.0;0.0;46.29;Apartamento
Apartamento;Flamengo;2;1;0;90;3200.0;980.0;0.0;35.56;Apartamento
Apartamento;Ipanema;2;0;0;99;3300.0;920.0;0.0;33.33;Apartamento
Apartamento;Copacabana;3;1;0;80;3100.0;700.0;1208.0;38.75;Apartamento
Apartamento;Copacabana;2;1;0;74;2600.0;1021.0;0.0;35.14;Apartamento
Apartamento;Humaitá;2;1;0;75;2900.0;926.0;90.0;38.67;Apartamento
Apartamento;Barra da Tijuca;4;3;4;250;9500.0;2800.0;523.0;38.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;80;1600.0;770.0;108.0;20.0;Apartamento
Apartamento;Recreio dos Bandeirantes;3;4;1;217;3300.0;947.0;547.0;15.21;Apartamento
Apartamento;São Conrado;3;2;1;140;4700.0;1620.0;515.0;33.57;Apartamento
Apartamento;Barra da Tijuca;4;3;2;260;7500.0;3550.0;350.0;28.85;Apartamento
Apartamento;Laranjeiras;2;0;0;85;2100.0;700.0;95.0;24.71;Apartamento
Apartamento;Rio Comprido;2;1;0;69;1900.0;600.0;70.0;27.54;Apartamento
Apartamento;Freguesia (Jacarepaguá);1;1;0;49;1050.0;580.0;36.0;21.43;Apartamento
Apartamento;Andaraí;2;1;0;56;1900.0;607.0;89.0;33.93;Apartamento
Apartamento;Barra da Tijuca;4;3;3;180;7000.0;1935.0;449.0;38.89;Apartamento
Apartamento;Copacabana;2;0;0;81;3000.0;770.0;159.0;37.04;Apartamento
Apartamento;Barra da Tijuca;2;1;1;88;2400.0;1313.0;0.0;27.27;Apartamento
Apartamento;Vargem Pequena;2;1;1;80;1100.0;650.0;0.0;13.75;Apartamento
Apartamento;Ipanema;3;3;3;169;9000.0;2300.0;886.0;53.25;Apartamento
Apartamento;Quintino Bocaiúva;2;0;0;67;900.0;320.0;0.0;13.43;Apartamento
Apartamento;Leblon;3;1;0;74;3300.0;700.0;83.0;44.59;Apartamento
Apartamento;Copacabana;2;0;0;110;2800.0;800.0;120.0;25.45;Apartamento
Apartamento;Leme;1;0;0;31;1140.0;420.0;24.0;36.77;Apartamento
Apartamento;Recreio dos Bandeirantes;2;2;1;90;1500.0;720.0;199.0;16.67;Apartamento
Apartamento;Barra da Tijuca;2;1;0;70;2400.0;1800.0;150.0;34.29;Apartamento
Apartamento;Inhaúma;3;1;0;60;750.0;236.0;0.0;12.5;Apartamento
Apartamento;Glória;1;0;0;48;1400.0;480.0;20.0;29.17;Apartamento
Apartamento;Copacabana;5;1;1;400;8500.0;2160.0;365.0;21.25;Apartamento
Apartamento;Ipanema;2;1;0;45;3000.0;575.0;25.0;66.67;Apartamento
