student_id,age,region,enroll_date,exam_season,courses_enrolled,completed_assignments,completion_rate,login_frequency,last_activity_days_ago,forum_posts_count,dropout_score,label,label_multiclass,label_name
STU00040,28,Dubai,2024-03-24,0,4,15,0.7638,10.49,3,14,0.0476,0,0,active
STU00041,30,Casablanca,2024-07-13,0,4,11,0.5512,10.23,26,15,0.3451,1,1,at-risk
STU00042,26,Amman,2024-11-23,0,7,5,0.1306,0.54,1,0,0.8086,1,2,dropped
STU00043,21,Baghdad,2024-04-22,1,2,6,0.587,7.79,12,12,0.1867,0,0,active
STU00044,18,Beirut,2024-01-29,0,6,5,0.1665,2.37,1,0,0.5269,1,1,at-risk
STU00045,25,Dubai,2024-01-17,0,1,1,0.1616,4.0,7,3,0.4087,1,1,at-risk
STU00046,22,Beirut,2024-07-24,0,5,23,0.9093,12.26,34,8,0.201,0,0,active
STU00047,35,Amman,2024-02-03,0,6,4,0.1481,1.22,24,3,0.68,1,2,dropped
STU00048,22,Dubai,2024-10-17,1,5,1,0.0578,1.14,1,1,0.6916,1,2,dropped
STU00049,25,Beirut,2024-04-18,1,1,2,0.4136,1.85,1,2,0.3902,1,1,at-risk
STU00050,27,Casablanca,2024-07-21,0,5,9,0.3429,3.33,4,2,0.0894,0,0,active
STU00051,25,Casablanca,2024-03-14,0,7,0,0.0,1.75,1,2,0.4675,1,1,at-risk
STU00052,21,Amman,2024-03-12,0,5,25,1.0,14.0,5,22,0.0038,0,0,active
STU00053,17,Dubai,2024-10-14,0,1,2,0.4339,4.95,6,2,0.252,0,0,active
STU00054,23,Baghdad,2024-05-14,0,2,8,0.787,6.69,1,7,0.1404,0,0,active
STU00055,17,Doha,2024-08-07,0,3,4,0.2402,0.33,24,2,0.8176,1,2,dropped
STU00056,17,Doha,2024-07-23,0,1,2,0.4909,10.45,10,12,0.1456,0,0,active
STU00057,23,Beirut,2024-04-22,1,1,1,0.143,2.16,11,3,0.6798,1,2,dropped
STU00058,22,Riyadh,2024-09-17,0,3,3,0.208,3.85,3,1,0.2619,0,0,active
STU00059,23,Casablanca,2024-02-16,0,2,4,0.4061,7.86,4,7,0.1145,0,0,active
STU00060,20,Cairo,2024-02-26,0,4,0,0.0173,0.82,6,1,0.4658,1,1,at-risk
STU00061,28,Riyadh,2024-11-17,0,7,11,0.3168,6.51,13,5,0.1208,0,0,active
STU00062,17,Riyadh,2024-12-14,0,1,0,0.0,0.83,15,2,0.7719,1,2,dropped
STU00063,19,Tunis,2024-11-01,1,7,12,0.3331,4.67,6,7,0.2897,0,0,active
STU00064,23,Alexandria,2024-07-16,0,5,0,0.0,0.38,2,0,0.6499,1,2,dropped
STU00065,19,Tunis,2024-11-01,1,7,13,0.3804,6.47,24,5,0.4936,1,1,at-risk
STU00066,23,Casablanca,2024-09-27,0,6,29,0.9694,9.28,2,9,0.1296,0,0,active
STU00067,20,Amman,2024-10-10,0,1,0,0.0621,4.66,4,7,0.4654,1,1,at-risk
STU00068,17,Cairo,2024-12-14,0,2,10,1.0,14.0,14,14,0.0038,0,0,active
STU00069,20,Alexandria,2024-12-15,0,7,27,0.7601,5.53,15,10,0.1426,0,0,active
STU00070,27,Baghdad,2024-05-16,0,4,2,0.1042,0.63,4,1,0.6163,1,2,dropped
STU00071,22,Beirut,2024-02-27,0,7,16,0.455,4.38,2,8,0.0,0,0,active
STU00072,31,Amman,2024-08-10,0,3,2,0.1159,3.46,2,6,0.268,0,0,active
STU00073,31,Riyadh,2024-08-20,0,3,6,0.4117,4.92,6,6,0.2131,0,0,active
STU00074,21,Cairo,2024-05-14,0,3,5,0.3184,3.59,5,4,0.2501,0,0,active
STU00075,27,Baghdad,2024-04-01,0,4,12,0.5988,8.5,2,6,0.1515,0,0,active
STU00076,31,Baghdad,2024-02-24,0,4,6,0.28,2.91,13,4,0.4679,1,1,at-risk
STU00077,19,Amman,2024-11-23,0,5,1,0.0261,0.63,18,0,0.7012,1,2,dropped
STU00078,18,Baghdad,2024-11-07,0,3,2,0.1354,3.13,4,2,0.3393,1,1,at-risk
STU00079,28,Dubai,2024-03-19,0,3,4,0.2926,8.97,25,10,0.3645,1,1,at-risk
STU00080,24,Beirut,2024-03-23,0,3,1,0.0369,0.53,8,2,0.5445,1,1,at-risk
STU00081,18,Baghdad,2024-09-28,0,4,5,0.2311,2.15,3,3,0.4303,1,1,at-risk
STU00082,17,Cairo,2024-11-02,1,3,1,0.0413,0.82,1,0,0.9124,1,2,dropped
STU00083,36,Beirut,2024-09-07,0,2,0,0.0,1.22,6,2,0.7773,1,2,dropped
STU00084,23,Cairo,2024-02-27,0,4,0,0.0,0.7,1,1,0.5878,1,1,at-risk
STU00085,26,Beirut,2024-06-06,0,5,0,0.0148,1.83,7,2,0.3133,1,1,at-risk
STU00086,29,Dubai,2024-01-30,0,5,0,0.0,0.69,2,0,0.757,1,2,dropped
STU00087,27,Dubai,2024-10-17,1,3,13,0.8888,11.51,5,21,0.1017,0,0,active
STU00088,22,Alexandria,2024-02-13,0,2,1,0.0711,0.31,4,2,0.5499,1,1,at-risk
STU00089,20,Casablanca,2024-02-05,0,7,0,0.0,0.12,14,1,0.726,1,2,dropped
STU00090,22,Baghdad,2024-03-05,0,3,10,0.6597,10.38,22,17,0.1319,0,0,active
STU00091,22,Riyadh,2024-12-03,0,3,6,0.3812,2.51,10,3,0.1664,0,0,active
STU00092,22,Casablanca,2024-10-08,0,5,0,0.0,0.66,17,1,0.7941,1,2,dropped
STU00093,25,Riyadh,2024-05-15,0,4,8,0.3981,3.51,31,6,0.282,0,0,active
STU00094,30,Baghdad,2024-11-06,0,4,8,0.4032,4.44,3,5,0.0,0,0,active
STU00095,21,Tunis,2024-04-18,1,6,24,0.7947,10.87,6,9,0.0486,0,0,active
STU00096,17,Baghdad,2024-12-19,0,1,0,0.0767,2.39,8,4,0.645,1,2,dropped
STU00097,20,Dubai,2024-06-08,0,3,12,0.7807,11.45,7,17,0.0553,0,0,active
STU00098,30,Tunis,2024-12-09,0,1,2,0.3937,3.76,12,5,0.1367,0,0,active
STU00099,28,Beirut,2024-08-12,0,6,2,0.0522,0.45,1,1,0.7585,1,2,dropped
STU00100,22,Baghdad,2024-08-19,0,7,15,0.4252,6.93,11,5,0.1709,0,0,active
STU00101,30,Alexandria,2024-05-06,0,4,2,0.078,2.97,6,7,0.415,1,1,at-risk
STU00102,18,Dubai,2024-02-02,0,3,6,0.4075,0.25,5,0,0.498,1,1,at-risk
STU00103,22,Beirut,2024-01-11,0,4,5,0.2346,4.68,3,3,0.1453,0,0,active
STU00104,17,Doha,2024-10-10,0,4,1,0.0366,0.86,1,3,0.634,1,2,dropped
STU00105,24,Dubai,2024-10-28,1,5,13,0.5182,6.22,31,3,0.4875,1,1,at-risk
STU00106,26,Dubai,2024-01-04,0,6,30,1.0,12.17,16,17,0.0543,0,0,active
STU00107,20,Alexandria,2024-12-28,0,7,0,0.0,0.12,4,2,0.6355,1,2,dropped
STU00108,17,Cairo,2024-04-27,1,3,12,0.8215,10.9,1,15,0.2268,0,0,active
STU00109,17,Alexandria,2024-01-17,0,3,2,0.1328,4.5,19,4,0.1715,0,0,active
STU00110,19,Beirut,2024-02-06,0,5,22,0.8719,8.29,12,11,0.0656,0,0,active
STU00111,24,Baghdad,2024-05-01,0,5,12,0.4898,7.19,17,5,0.2023,0,0,active
STU00112,30,Amman,2024-12-08,0,7,1,0.0163,0.75,4,1,0.6024,1,2,dropped
STU00113,22,Casablanca,2024-04-19,1,7,3,0.0944,2.73,27,4,0.6643,1,2,dropped
STU00114,24,Baghdad,2024-03-08,0,3,2,0.1585,0.64,1,1,0.7282,1,2,dropped
STU00115,21,Doha,2024-10-22,1,3,5,0.3216,0.49,1,1,0.5895,1,1,at-risk
STU00116,17,Casablanca,2024-05-04,0,3,3,0.1746,1.02,19,0,0.8462,1,2,dropped
STU00117,30,Casablanca,2024-07-27,0,3,1,0.0783,0.87,11,0,0.5976,1,1,at-risk
STU00118,28,Dubai,2024-02-18,0,1,3,0.5487,11.56,13,12,0.0547,0,0,active
STU00119,25,Alexandria,2024-12-03,0,4,3,0.164,2.9,1,3,0.4373,1,1,at-risk
STU00120,18,Tunis,2024-06-30,0,2,2,0.2162,5.01,1,5,0.3759,1,1,at-risk
STU00121,20,Tunis,2024-07-29,0,6,10,0.3337,0.89,10,0,0.5713,1,1,at-risk
STU00122,17,Casablanca,2024-01-28,0,3,15,0.9822,14.0,36,19,0.1558,0,0,active
STU00123,28,Alexandria,2024-02-01,0,1,3,0.6826,6.88,6,6,0.1203,0,0,active
STU00124,28,Tunis,2024-06-22,0,2,5,0.527,5.23,11,5,0.1073,0,0,active
STU00125,25,Alexandria,2024-05-07,0,5,8,0.3263,4.29,7,2,0.1559,0,0,active
STU00126,25,Dubai,2024-04-07,0,2,3,0.3234,3.44,1,6,0.2046,0,0,active
STU00127,32,Baghdad,2024-08-17,0,4,0,0.0017,0.99,20,0,0.7175,1,2,dropped
STU00128,21,Riyadh,2024-08-04,0,7,8,0.218,1.99,5,1,0.2902,0,0,active
STU00129,21,Riyadh,2024-05-22,0,7,0,0.0,1.04,5,3,0.5519,1,1,at-risk
STU00130,17,Casablanca,2024-05-07,0,4,6,0.3186,2.46,5,1,0.5357,1,1,at-risk
STU00131,31,Alexandria,2024-08-14,0,4,8,0.3832,1.92,9,3,0.3601,1,1,at-risk
STU00132,27,Baghdad,2024-02-20,0,3,9,0.6228,5.24,1,5,0.0,0,0,active
STU00133,32,Cairo,2024-11-29,0,7,0,0.0,1.56,4,1,0.3464,1,1,at-risk
STU00134,29,Baghdad,2024-01-08,0,4,1,0.028,0.49,1,0,0.7382,1,2,dropped
STU00135,24,Alexandria,2024-05-01,0,2,1,0.084,3.87,4,4,0.4124,1,1,at-risk
STU00136,17,Riyadh,2024-07-27,0,7,16,0.455,3.82,3,4,0.1428,0,0,active
STU00137,24,Casablanca,2024-09-03,0,4,0,0.0,0.19,1,1,0.7873,1,2,dropped
STU00138,27,Dubai,2024-07-24,0,4,20,1.0,14.0,7,22,0.0362,0,0,active
STU00139,34,Cairo,2024-03-25,0,4,0,0.0126,0.47,1,0,0.7051,1,2,dropped
STU00140,24,Tunis,2024-01-02,0,2,0,0.0,0.73,33,0,0.9387,1,2,dropped
STU00141,28,Tunis,2024-05-15,0,7,19,0.5407,10.13,9,14,0.1161,0,0,active
STU00142,29,Casablanca,2024-05-26,0,4,2,0.1227,0.42,4,2,0.6613,1,2,dropped
STU00143,25,Tunis,2024-12-22,0,7,27,0.7783,13.23,15,15,0.2291,0,0,active
STU00144,26,Baghdad,2024-12-04,0,4,8,0.3981,3.68,9,6,0.0889,0,0,active
STU00145,29,Casablanca,2024-03-20,0,3,6,0.4271,1.72,4,1,0.3814,1,1,at-risk
STU00146,29,Dubai,2024-05-31,0,2,8,0.8277,4.99,6,7,0.0026,0,0,active
STU00147,29,Dubai,2024-01-30,0,6,0,0.0,4.43,1,2,0.3607,1,1,at-risk
STU00148,25,Doha,2024-10-04,0,1,0,0.0831,3.72,7,3,0.2614,0,0,active
STU00149,26,Cairo,2024-06-09,0,4,4,0.2246,2.71,5,3,0.4393,1,1,at-risk
STU00150,23,Cairo,2024-01-26,0,7,14,0.4097,6.87,1,8,0.1411,0,0,active
STU00151,36,Doha,2024-09-01,0,2,1,0.1212,0.83,18,1,0.728,1,2,dropped
STU00152,27,Baghdad,2024-09-28,0,2,2,0.234,1.03,5,4,0.577,1,1,at-risk
STU00153,21,Riyadh,2024-01-30,0,4,8,0.4085,6.95,7,4,0.0554,0,0,active
STU00154,17,Baghdad,2024-02-11,0,5,0,0.0,0.21,5,2,0.6447,1,2,dropped
STU00155,29,Riyadh,2024-02-05,0,4,5,0.2442,4.51,22,3,0.3535,1,1,at-risk
STU00156,18,Doha,2024-02-04,0,3,0,0.0,1.47,10,2,0.8664,1,2,dropped
STU00157,27,Dubai,2024-07-25,0,3,0,0.0,2.66,13,5,0.3936,1,1,at-risk
STU00158,23,Alexandria,2024-10-18,1,4,1,0.0401,0.33,5,1,0.8302,1,2,dropped
STU00159,30,Dubai,2024-10-23,1,4,1,0.0614,1.49,5,3,0.8058,1,2,dropped
STU00160,27,Doha,2024-01-21,0,1,1,0.2431,3.9,1,5,0.2683,0,0,active
STU00161,20,Doha,2024-02-11,0,1,0,0.0,0.32,5,2,0.8225,1,2,dropped
STU00162,18,Tunis,2024-12-02,0,7,3,0.0991,0.62,6,1,0.8122,1,2,dropped
STU00163,28,Doha,2024-10-16,1,5,0,0.0,1.68,5,5,0.6429,1,2,dropped
STU00164,19,Baghdad,2024-06-10,0,2,9,0.8954,11.04,3,14,0.0096,0,0,active
STU00165,18,Amman,2024-04-14,1,6,15,0.4874,6.19,14,8,0.3193,1,1,at-risk
STU00166,19,Beirut,2024-05-02,0,7,1,0.0355,2.47,1,4,0.4385,1,1,at-risk
STU00167,22,Amman,2024-07-21,0,2,4,0.3893,2.32,1,3,0.1884,0,0,active
STU00168,21,Riyadh,2024-12-09,0,4,1,0.0496,3.37,10,2,0.3501,1,1,at-risk
STU00169,26,Amman,2024-08-22,0,5,16,0.6538,7.62,5,7,0.0,0,0,active
STU00170,23,Beirut,2024-02-07,0,7,2,0.0688,3.05,1,4,0.3464,1,1,at-risk
STU00171,23,Cairo,2024-08-22,0,1,1,0.1333,2.78,1,3,0.5435,1,1,at-risk
STU00172,19,Doha,2024-10-15,0,3,0,0.0,1.65,5,5,0.2679,0,0,active
STU00173,27,Alexandria,2024-02-07,0,2,0,0.0,1.02,5,3,0.6793,1,2,dropped
STU00174,22,Baghdad,2024-04-19,1,7,9,0.2519,2.56,1,2,0.5458,1,1,at-risk
STU00175,22,Baghdad,2024-05-15,0,3,1,0.0348,0.1,3,2,0.746,1,2,dropped
STU00176,20,Riyadh,2024-06-27,0,7,8,0.2214,5.36,7,4,0.1577,0,0,active
STU00177,24,Alexandria,2024-05-05,0,1,5,0.969,13.05,2,18,0.0,0,0,active
STU00178,23,Beirut,2024-05-25,0,1,0,0.092,2.64,4,6,0.5242,1,1,at-risk
STU00179,18,Riyadh,2024-08-12,0,4,0,0.0,1.72,26,1,0.5963,1,1,at-risk
STU00180,34,Baghdad,2024-12-26,0,1,2,0.3884,3.63,7,10,0.0534,0,0,active
STU00181,25,Amman,2024-11-09,0,3,11,0.7416,11.75,4,14,0.1183,0,0,active
STU00182,21,Baghdad,2024-01-05,0,1,1,0.2627,2.49,6,4,0.3091,1,1,at-risk
STU00183,22,Baghdad,2024-06-02,0,2,1,0.1403,3.75,18,7,0.425,1,1,at-risk
STU00184,25,Alexandria,2024-03-09,0,6,1,0.0383,0.79,1,0,0.7336,1,2,dropped
STU00185,27,Amman,2024-02-29,0,5,0,0.0,0.47,15,1,0.7133,1,2,dropped
STU00186,22,Alexandria,2024-10-10,0,6,0,0.0,1.86,8,1,0.551,1,1,at-risk
STU00187,35,Riyadh,2024-05-19,0,5,4,0.1727,3.04,6,6,0.3893,1,1,at-risk
STU00188,20,Amman,2024-11-05,1,6,2,0.0708,0.82,13,1,0.9045,1,2,dropped
STU00189,20,Dubai,2024-06-24,0,1,0,0.0312,3.19,5,7,0.2702,0,0,active
STU00190,29,Dubai,2024-12-17,0,1,4,0.7963,10.51,8,15,0.0,0,0,active
STU00191,26,Amman,2024-09-15,0,3,11,0.736,9.89,20,9,0.0705,0,0,active
STU00192,26,Casablanca,2024-05-08,0,1,1,0.1663,2.0,23,1,0.5766,1,1,at-risk
STU00193,24,Cairo,2024-02-17,0,4,8,0.3848,5.08,1,6,0.0219,0,0,active
STU00194,19,Tunis,2024-05-21,0,3,0,0.0,1.13,1,1,0.4951,1,1,at-risk
STU00195,29,Cairo,2024-01-02,0,5,12,0.495,2.66,10,3,0.2554,0,0,active
STU00196,26,Beirut,2024-03-07,0,7,7,0.1981,1.75,12,3,0.4944,1,1,at-risk
STU00197,21,Amman,2024-03-23,0,3,11,0.7347,12.52,1,16,0.0,0,0,active
STU00198,21,Casablanca,2024-10-09,0,2,1,0.0941,0.33,5,1,0.8032,1,2,dropped
STU00199,31,Tunis,2024-10-14,0,1,1,0.2272,2.74,1,2,0.4141,1,1,at-risk
STU00200,34,Cairo,2024-02-27,0,3,2,0.1562,3.68,15,3,0.4059,1,1,at-risk
STU00201,20,Alexandria,2024-12-19,0,4,2,0.0765,2.75,1,2,0.3721,1,1,at-risk
STU00202,26,Riyadh,2024-10-06,0,6,3,0.1155,0.95,1,1,0.6474,1,2,dropped
STU00203,28,Cairo,2024-07-08,0,1,1,0.1119,1.73,1,3,0.3414,1,1,at-risk
STU00204,22,Doha,2024-10-09,0,4,6,0.3229,2.59,11,6,0.1965,0,0,active
STU00205,20,Riyadh,2024-08-08,0,3,4,0.2674,1.58,9,2,0.4425,1,1,at-risk
STU00206,22,Riyadh,2024-01-22,0,4,12,0.5798,6.01,58,9,0.2498,0,0,active
STU00207,25,Amman,2024-07-05,0,3,1,0.0713,2.62,2,3,0.4717,1,1,at-risk
STU00208,25,Cairo,2024-07-02,0,2,1,0.0708,0.41,2,0,0.7586,1,2,dropped
STU00209,24,Dubai,2024-12-15,0,6,2,0.0648,0.67,2,2,0.6187,1,2,dropped
STU00210,19,Dubai,2024-12-07,0,7,0,0.0,0.74,18,2,0.9112,1,2,dropped
STU00211,21,Alexandria,2024-06-30,0,3,5,0.3346,4.06,18,3,0.2697,0,0,active
STU00212,17,Baghdad,2024-07-27,0,4,8,0.4136,7.04,22,7,0.153,0,0,active
STU00213,28,Doha,2024-03-20,0,3,4,0.2576,2.88,19,2,0.3762,1,1,at-risk
STU00214,28,Dubai,2024-03-24,0,6,10,0.3484,5.67,36,4,0.2987,0,0,active
STU00215,26,Riyadh,2024-07-30,0,4,3,0.1399,0.1,17,2,0.8028,1,2,dropped
STU00216,22,Cairo,2024-04-01,0,6,0,0.0,0.86,2,1,0.6923,1,2,dropped
STU00217,27,Beirut,2024-07-29,0,3,12,0.812,8.16,8,8,0.0,0,0,active
STU00218,24,Dubai,2024-05-16,0,4,6,0.3204,0.87,20,1,0.5433,1,1,at-risk
STU00219,18,Riyadh,2024-12-25,0,3,8,0.5414,7.81,13,12,0.3333,1,1,at-risk
STU00220,24,Alexandria,2024-07-14,0,6,20,0.676,7.77,17,11,0.1165,0,0,active
STU00221,21,Cairo,2024-08-28,0,7,18,0.522,5.68,4,7,0.1861,0,0,active
STU00222,24,Dubai,2024-04-12,0,5,7,0.2718,3.94,11,6,0.2528,0,0,active
STU00223,29,Casablanca,2024-06-28,0,4,6,0.2839,6.03,2,2,0.3116,1,1,at-risk
STU00224,20,Amman,2024-04-26,1,2,2,0.2357,1.04,9,1,0.8474,1,2,dropped
STU00225,28,Dubai,2024-01-13,0,4,1,0.0378,0.29,28,0,0.8981,1,2,dropped
STU00226,29,Dubai,2024-07-23,0,2,6,0.5555,7.66,47,7,0.5037,1,1,at-risk
STU00227,26,Beirut,2024-05-22,0,4,4,0.2248,1.22,1,2,0.4932,1,1,at-risk
STU00228,27,Alexandria,2024-05-22,0,7,14,0.399,5.94,5,7,0.0482,0,0,active
STU00229,31,Beirut,2024-11-24,0,7,6,0.1643,1.34,12,2,0.5711,1,1,at-risk
STU00230,31,Baghdad,2024-07-23,0,4,0,0.0,1.97,10,0,0.4656,1,1,at-risk
STU00231,17,Baghdad,2024-06-18,0,7,20,0.5741,5.49,1,7,0.1522,0,0,active
STU00232,26,Cairo,2024-02-29,0,5,0,0.0,1.7,14,0,0.4711,1,1,at-risk
STU00233,17,Amman,2024-04-01,0,5,10,0.3982,6.32,1,8,0.1485,0,0,active
STU00234,25,Doha,2024-05-15,0,5,7,0.2907,2.73,2,2,0.4901,1,1,at-risk
STU00235,23,Cairo,2024-02-25,0,4,0,0.0,0.94,8,2,0.6082,1,2,dropped
STU00236,26,Doha,2024-08-10,0,5,25,1.0,14.0,2,18,0.072,0,0,active
STU00237,21,Beirut,2024-06-09,0,1,1,0.2941,4.34,13,6,0.2457,0,0,active
STU00238,24,Tunis,2024-11-06,0,4,3,0.16,2.2,6,1,0.5023,1,1,at-risk
STU00239,23,Baghdad,2024-02-29,0,3,0,0.0,0.8,7,1,0.8673,1,2,dropped
STU00240,22,Tunis,2024-10-22,1,3,3,0.2322,7.87,10,6,0.313,1,1,at-risk
STU00241,18,Dubai,2024-05-10,0,7,15,0.418,7.52,3,9,0.2416,0,0,active
STU00242,21,Cairo,2024-12-28,0,3,0,0.0,0.83,13,0,0.7685,1,2,dropped
STU00243,26,Tunis,2024-01-01,0,5,3,0.1145,0.1,5,5,0.5732,1,1,at-risk
STU00244,28,Baghdad,2024-10-02,0,4,2,0.1021,1.83,16,0,0.5561,1,1,at-risk
STU00245,24,Dubai,2024-07-05,0,2,1,0.1113,0.28,1,2,0.6371,1,2,dropped
STU00246,20,Tunis,2024-02-05,0,7,1,0.0174,0.83,1,0,0.7822,1,2,dropped
STU00247,29,Beirut,2024-11-15,0,1,1,0.2977,3.58,5,6,0.444,1,1,at-risk
STU00248,30,Beirut,2024-12-05,0,4,0,0.0,3.55,1,3,0.4441,1,1,at-risk
STU00249,25,Alexandria,2024-06-02,0,4,5,0.2355,2.4,9,1,0.3999,1,1,at-risk
STU00250,24,Baghdad,2024-06-07,0,6,5,0.1784,4.3,15,4,0.49,1,1,at-risk
STU00251,23,Tunis,2024-06-16,0,1,1,0.2603,1.66,1,2,0.509,1,1,at-risk
STU00252,24,Tunis,2024-12-22,0,1,2,0.4491,4.26,4,8,0.1989,0,0,active
STU00253,24,Amman,2024-10-10,0,1,1,0.2516,2.26,1,2,0.4271,1,1,at-risk
STU00254,25,Riyadh,2024-04-08,0,5,9,0.3719,6.04,13,8,0.1386,0,0,active
STU00255,29,Tunis,2024-12-06,0,5,2,0.0811,4.01,10,3,0.3412,1,1,at-risk
STU00256,26,Tunis,2024-12-12,0,5,0,0.0,1.09,1,0,0.6093,1,2,dropped
STU00257,22,Riyadh,2024-11-11,0,7,0,0.0,1.4,21,2,0.7413,1,2,dropped
STU00258,21,Doha,2024-06-03,0,1,1,0.2009,1.31,1,2,0.7075,1,2,dropped
STU00259,27,Tunis,2024-10-07,0,2,1,0.1388,0.7,4,1,0.5823,1,1,at-risk
STU00260,27,Cairo,2024-06-04,0,1,1,0.1411,1.63,22,1,0.5541,1,1,at-risk
STU00261,27,Amman,2024-04-17,1,5,6,0.2287,1.78,2,1,0.5917,1,1,at-risk
STU00262,17,Tunis,2024-10-23,1,7,5,0.1431,0.22,7,1,0.9918,1,2,dropped
STU00263,30,Doha,2024-12-01,0,4,12,0.5773,5.25,10,10,0.1995,0,0,active
STU00264,19,Beirut,2024-08-26,0,1,3,0.5042,7.73,31,4,0.3121,1,1,at-risk
STU00265,17,Casablanca,2024-08-14,0,5,19,0.772,10.42,7,19,0.0364,0,0,active
STU00266,17,Dubai,2024-09-18,0,3,0,0.0,0.63,18,0,0.8287,1,2,dropped
STU00267,21,Casablanca,2024-03-27,0,6,4,0.1169,0.4,5,1,0.6525,1,2,dropped
STU00268,27,Alexandria,2024-05-25,0,4,8,0.3786,1.05,9,0,0.3909,1,1,at-risk
STU00269,26,Baghdad,2024-12-05,0,7,4,0.1279,1.75,6,3,0.495,1,1,at-risk
STU00270,26,Doha,2024-06-20,0,4,0,0.0,0.1,18,0,0.8484,1,2,dropped
STU00271,21,Alexandria,2024-04-30,0,5,3,0.1106,0.99,23,2,0.7494,1,2,dropped
STU00272,27,Amman,2024-04-25,1,1,1,0.1562,5.01,2,10,0.3217,1,1,at-risk
STU00273,17,Dubai,2024-03-16,0,1,0,0.0699,0.91,11,1,0.6708,1,2,dropped
STU00274,17,Cairo,2024-01-24,0,3,0,0.0,2.9,14,5,0.4391,1,1,at-risk
